### DIFF = 0.01
### R = 0.6
### q = 0.75
### Bz(x) = sin2.0x
ky, kz, GROWTH_RATE
0.0, 0.25, -0.017972281018487336
0.0, 0.5, -0.0762160253321002
0.0, 0.75, -0.13000435998392287
0.0, 1.0, -0.15889763017078556
0.25, 0.0, -0.06522637728460158
0.25, 0.25, -0.019670876029010773
0.25, 0.5, -0.0726982004935078
0.25, 0.75, -0.13250173329030662
0.25, 1.0, -0.16913409765885234
0.5, 0.0, -0.10504996659790956
0.5, 0.25, 0.046915883598654236
0.5, 0.5, -0.03424979822155142
0.5, 0.75, -0.137745395920941
0.5, 1.0, -0.16192439900404473
0.75, 0.0, -0.19230930981887973
0.75, 0.25, 0.07728655771940415
0.75, 0.5, 0.010812424793058316
0.75, 0.75, -0.15123791002031245
0.75, 1.0, -0.1978837672362813
1.0, 0.0, -0.29461860110725846
1.0, 0.25, 0.08786048609045435
1.0, 0.5, 0.060502643100991176
1.0, 0.75, -0.16730173832024564
1.0, 1.0, -0.21095589272958762
1.25, 0.0, -0.34589570586212376
1.25, 0.25, 0.08421940529913484
1.25, 0.5, 0.08530590681516875
1.25, 0.75, -0.039305134284289486
1.25, 1.0, -0.22041384077829965
1.5, 0.0, -0.46225226228859595
1.5, 0.25, 0.06822222908857753
1.5, 0.5, 0.09402576047704589
1.5, 0.75, -0.013200840169083064
1.5, 1.0, -0.22687374399873309
1.75, 0.0, -0.5179730902553009
1.75, 0.25, 0.04073285418173833
1.75, 0.5, 0.09036897143052898
1.75, 0.75, -0.2663970066592931
1.75, 1.0, -0.2468021413068945
2.0, 0.0, -0.6501372335806672
2.0, 0.25, 0.0021500314306336327
2.0, 0.5, 0.07595350236754567
2.0, 0.75, 0.010121059539568183
2.0, 1.0, -0.2842322717592463
2.25, 0.0, -0.71060263555166
2.25, 0.25, -0.04691905068918252
2.25, 0.5, 0.051580858635245086
2.25, 0.75, 0.003860037493951542
2.25, 1.0, -0.3238101595045614
2.5, 0.0, -0.8529330482432984
2.5, 0.25, -0.10398739374467397
2.5, 0.5, 0.017684881650234272
2.5, 0.75, -0.013313735898279803
2.5, 1.0, -0.15358754518745515
2.75, 0.0, -0.9179122260754908
2.75, 0.25, -0.16453322087767658
2.75, 0.5, -0.37044678887035404
2.75, 0.75, -0.04085945960905527
2.75, 1.0, -0.2865664557393158
3.0, 0.0, -0.9825911738570065
3.0, 0.25, -0.22690939489120923
3.0, 0.5, -0.07662340282121734
3.0, 0.75, -0.2664924350241934
3.0, 1.0, -0.2604113858030065
3.25, 0.0, -1.142370621917372
3.25, 0.25, -0.29250282941059447
3.25, 0.5, -0.13426261672821857
3.25, 0.75, -0.31582286180953495
3.25, 1.0, -0.2605867939958599
3.5, 0.0, -1.211753181997548
3.5, 0.25, -0.36265741017320113
3.5, 0.5, -0.19588588075822894
3.5, 0.75, -0.3749531346908738
3.5, 1.0, -0.2795747961325916
3.75, 0.0, -1.2811492503625235
3.75, 0.25, -0.6895167022170764
3.75, 0.5, -0.26045521395646615
3.75, 0.75, -0.44257377516167123
3.75, 1.0, -0.31242127788916063
4.0, 0.0, -1.3506670194822268
4.0, 0.25, -0.7266497427514301
4.0, 0.5, -0.718854615440882
4.0, 0.75, -0.5177465064227735
4.0, 1.0, -0.3562641089910816
4.25, 0.0, -1.527352250056048
4.25, 0.25, -0.7688105728982036
4.25, 0.5, -0.4010191150352799
4.25, 0.75, -0.59976539126657
4.25, 1.0, -0.40931394971528534
4.5, 0.0, -1.6015354000445028
4.5, 0.25, -0.8204950538010226
4.5, 0.5, -1.0776543203470228
4.5, 0.75, -0.6880785260143522
4.5, 1.0, -0.4703614954317081
4.75, 0.0, -1.6760082231785975
4.75, 0.25, -0.8812192846039226
4.75, 0.5, -1.149618376524424
4.75, 0.75, -0.7822416972963352
4.75, 1.0, -0.5385378488801841
5.0, 0.0, -1.7508375860307563
5.0, 0.25, -1.2272650090973523
5.0, 0.5, -1.19923015451644
5.0, 0.75, -0.8818891341907771
5.0, 1.0, -0.6131885108644329
5.25, 0.0, -1.9463692528689869
5.25, 0.25, -1.0193511981614882
5.25, 0.5, -1.251052332227458
5.25, 0.75, -0.9867135876054375
5.25, 1.0, -0.693802032860863
5.5, 0.0, -2.0258717077933706
5.5, 0.25, -1.3485213449207716
5.5, 0.5, -0.9542333315438889
5.5, 0.75, -1.0964525085983643
5.5, 1.0, -0.7799670017045407
5.75, 0.0, -2.1058329753508507
5.75, 0.25, -1.4135697538052232
5.75, 0.5, -1.3606822103931373
5.75, 0.75, -1.0339944836747246
5.75, 1.0, -0.8713446688508216
6.0, 0.0, -2.186297021008703
6.0, 0.25, -1.481809489049615
6.0, 0.5, -1.4183331895219211
6.0, 0.75, -1.329794432634359
6.0, 1.0, -0.9676507260509374
DOMINANT MODE AT (ky,kz) = (1.5, 0.5)
DOMINANT GROWTH RATE = 0.09402576047704589

### DIFF = 0.01
### R = 0.5
### q = 0.75
### Bz(x) = sin2.0x
ky, kz, GROWTH_RATE
0.0, 0.25, -0.023718107119372906
0.0, 0.5, -0.06203125998575222
0.0, 0.75, -0.12215296010479144
0.0, 1.0, -0.16447283753500685
0.25, 0.0, -0.025552824554093186
0.25, 0.25, -0.021119782013152275
0.25, 0.5, -0.07936546011949061
0.25, 0.75, -0.12472960758846775
0.25, 1.0, -0.16747662281342143
0.5, 0.0, -0.09331315341941397
0.5, 0.25, 0.027238049784454658
0.5, 0.5, -0.03477285962319177
0.5, 0.75, -0.13543703123272394
0.5, 1.0, -0.16355750588182108
0.75, 0.0, -0.17094320134089871
0.75, 0.25, 0.06826447720318261
0.75, 0.5, -0.013071140277262076
0.75, 0.75, -0.1629266548465451
0.75, 1.0, -0.19796212654525294
1.0, 0.0, -0.21026860777110246
1.0, 0.25, 0.08830302728764731
1.0, 0.5, 0.021599400409296605
1.0, 0.75, -0.17121588845437055
1.0, 1.0, -0.19732993570398963
1.25, 0.0, -0.30809582501023436
1.25, 0.25, 0.09540513687541788
1.25, 0.5, 0.05484562625487208
1.25, 0.75, -0.1841403588648408
1.25, 1.0, -0.2053258111719851
